,steps,collision,speed violation,ik violation,object collision,velocity violation,velocity during collision,success,return
242,1210000,0,0,0,0,0,,1,-43.8475631456569
243,1215000,0,0,0,0,0,,0,-130.642325636042
244,1220000,0,0,0,0,0,,0,-113.114646654595
245,1225000,0,0,0,0,0,,0,-51.8620527592448
246,1230000,0,0,0,0,0,,0,-161.763101709623
247,1235000,0,0,0,0,0,,0,-184.351208040679
248,1240000,0,0,0,0,0,,1,681.695089375673
249,1245000,0,0,0,0,0,,0,-119.622368891186
250,1250000,0,0,0,0,0,,0,-145.063832770613
251,1255000,0,0,0,0,0,,0,-140.802204978293
